:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2130 UT 07 Apr 2021
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2021 01 01     3  0 0 1 0 1 2 2 1     1  0 0 1 0 0 1 0 0     4  0 0 1 1 0 1 1 1
2021 01 02    -1  0 0 0 0 0-1-1-1     0  0 0 0 0 0 0 0 0     2  1 0 0 1 0 0 1 1
2021 01 03     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     2  0 1 0 0 0 1 0 1
2021 01 04     3  0 0 1 1 2 2 1 1     2  0 0 2 2 0 0 0 0     3  1 0 1 1 0 0 1 1
2021 01 05     9  1 0 1 0 4 3 2 3    14  0 0 0 0 6 4 1 1    11  2 1 1 1 4 3 2 3
2021 01 06     9  3 2 4 2 2 1 1 0    16  2 3 4 4 4 3 2 0    11  3 3 4 2 2 1 1 1
2021 01 07     4  1 2 1 0 1 1 1 2     3  1 1 1 2 1 0 0 1     6  1 2 1 1 1 1 1 3
2021 01 08     1  0 0 0 0 1 1 1 0     0  1 0 0 0 0 0 0 0     2  1 0 0 0 1 0 0 0
2021 01 09     2  1 1 0 1 1 1 0 0     0  0 0 0 0 0 0 0 0     3  1 1 1 1 0 0 0 0
2021 01 10     3  0 1 1 1 1 2 1 0     1  0 0 0 1 1 0 0 0     3  1 1 1 0 0 1 1 1
2021 01 11    10  1 0 0 2 4 3 3 3    20  0 0 0 2 5 5 4 4    14  1 0 0 2 4 4 4 4
2021 01 12     8  3 3 2 2 1 2 1 1    15  3 3 3 5 3 1 1 1     9  4 3 2 2 1 1 1 1
2021 01 13     3  1 0 1 2 1 1 0 1     5  1 1 1 3 3 1 0 0     4  1 1 1 1 1 1 1 1
2021 01 14     1  0 0 0 0 0 1 0 1     1  0 0 0 1 0 1 0 0     2  0 0 0 1 0 0 0 1
2021 01 15     2  1 0 0 0 1 2 1 0     0  0 0 0 0 0 1 0 0     3  2 0 0 0 0 1 1 0
2021 01 16     2  0 1 0 1 1 1 1 0     0  0 0 0 0 1 0 0 0     4  1 2 1 1 1 1 1 1
2021 01 17     2  0 1 0 0 2 1 1 0     0  0 1 0 0 0 0 0 0     3  1 2 0 0 1 0 0 1
2021 01 18     3  0 1 0 0 1 1 2 2     0  0 0 0 0 0 0 0 1     4  1 2 0 0 1 0 1 2
2021 01 19     6  2 2 1 1 2 2 2 1     3  0 1 0 1 3 0 0 0     6  3 2 1 1 2 1 1 1
2021 01 20     5  1 1 2 2 2 2 1 0    11  0 0 3 4 4 3 0 0     6  1 1 3 2 2 2 1 1
2021 01 21     2  0 1 0 1 1 1 0 0     0  0 0 0 0 0 0 0 0     3  0 1 0 1 0 0 0 1
2021 01 22     3  1 0 1 0 1 1 2 1     0  0 0 0 0 0 1 0 0     4  1 0 0 0 1 1 1 1
2021 01 23     3  0 0 1 2 0 1 1 2     1  0 0 0 2 0 0 0 1     5  1 0 1 2 0 1 1 2
2021 01 24     4  0 2 2 0 1 1 1 2     3  0 0 2 0 2 1 1 1     5  1 2 2 0 1 1 2 2
2021 01 25    14  2 2 3 3 1 2 2 5    33  2 0 4 6 5 5 2 5    17  2 1 4 4 2 3 3 5
